ID;Name
1;Black
2;Blue
3;Cyan
4;Green
5;Gray
6;Indigo
7;Lemon
8;Lime
9;Mossgreen
1O;Oats
11;Orange
12;Pink
13;Red
14;Ruby
15;Teal
16;Turquoise
17;Violet
18;White
19;Yellow
